"Country","Pollution","Population","GDP","Area (sq. mi.)","Pop. Density (per sq. mi.)"
"Bangladesh",76.9,164689383,1961.6137487886,144000,"1023,4"
"Chad",75.9,16425859,659.270044977801,1284000,"7,7"
"Pakistan",66.8,220892331,1188.85975692162,803940,"206,2"
"Tajikistan",59.4,9537642,859.137961121368,143100,"51,2"
"India",58.1,1380004385,1927.70782309335,3287590,"333,2"
"Oman",53.9,5106622,14485.3861157973,212460,"14,6"
"Bahrain",49.8,1701583,20409.9528047731,665,"1050,5"
"Iraq",49.7,40222503,4145.86293637602,437072,"61,3"
"Nepal",46,29136808,1155.14285440358,147181,"192,2"
"Sudan",44.1,43849269,486.418816281925,2505810,"16,5"
"Uzbekistan",42.8,33469199,1750.69711321291,447400,"61,0"
"Qatar",38.2,2881060,50124.3859361728,11437,"77,4"
"Afghanistan",37.5,38928341,516.747870807558,647500,"48,0"
"United Arab Emirates",36,9890400,36284.5552429552,82880,"31,4"
"Indonesia",34.3,273523621,3869.58842704537,1919440,"127,9"
"Nigeria",34,206139587,2097.09247289022,923768,"142,7"
"Armenia",33.9,2963234,4266.01807420946,29800,"99,9"
"Mongolia",33.1,3278292,4060.95051770038,1564116,"1,8"
"Saudi Arabia",32.7,34813867,20110.3161924912,1960582,"13,8"
"China",32.6,1439323774,10434.7751874839,9596960,"136,9"
"Kazakhstan",31.1,18776707,9122.23343021644,2717300,"5,6"
"Kuwait",29.7,4270563,24811.7697100231,17820,"135,7"
"Peru",29.6,32971845,6126.87453978867,1285220,"22,0"
"Uganda",27.6,45741000,822.027681531666,236040,"119,5"
"Ghana",25.9,31072945,2205.5290158584,239460,"93,6"
"Lebanon",25.7,6825442,4649.54764607837,10400,"372,5"
"Serbia",25.5,8737370,7720.51057195234,88361,"106,3"
"Croatia",25.4,4105268,14134.1626811193,56542,"79,5"
"Vietnam",24.7,97338583,2785.72416087603,329560,"256,1"
"Ethiopia",23.9,114963583,936.340461064749,1127127,"66,3"
"South Africa",22.7,59308690,5655.86765390396,1219912,"36,2"
"Chile",21.7,19116209,13231.7042069381,756950,"21,3"
"Georgia",21,3989175,4266.69079450924,69700,"66,9"
"Madagascar",21,27691019,471.491496300252,587040,"31,7"
"Thailand",20.2,69799978,7186.87409206525,514000,"125,7"
"Turkey",20,84339067,8536.43331960632,780580,"90,2"
"Algeria",20,43851043,3306.85820838104,2381740,"13,8"
"Cambodia",19.8,16718971,1543.66925757282,181040,"76,7"
"Guatemala",19.5,17915567,4603.33961670975,108890,"112,9"
"Malaysia",19.4,32365998,10412.3489834381,329750,"74,0"
"Mexico",19.3,128932753,8329.27131263927,1972550,"54,5"
"Poland",19.1,37846605,15720.994663556,312685,"123,3"
"Greece",19,10423056,17622.5410033504,131940,"81,0"
"Israel",18.7,8655541,44168.9436355026,20770,"305,8"
"Ukraine",18.5,43733759,3724.93843689756,603700,"77,4"
"Azerbaijan",17.6,10139175,4221.40747847848,86600,"91,9"
"Sri Lanka",17.4,21413250,3680.67347661745,65610,"308,2"
"Bulgaria",16.3,6948445,10079.2033812203,110910,"66,6"
"Philippines",15.6,109581085,3298.82958569657,3e+05,"298,2"
"Hungary",15.5,9660350,15980.740889649,93030,"107,3"
"Romania",15.3,19237682,12896.0886211622,237500,"93,9"
"Italy",15.2,60461828,31714.2209467105,301230,"193,0"
"Cyprus",14.8,1207361,27527.8453055825,9250,"84,8"
"Kenya",14.3,53771300,1878.58070251348,582650,"59,6"
"Uruguay",14.2,3473727,15438.4116657291,176220,"19,5"
"Colombia",14.1,50882884,5334.55604233917,1138910,"38,3"
"Czech Republic",13.9,10708982,22931.2745975622,78866,"129,8"
"Singapore",13.8,5850343,59797.7521801188,693,"6482,2"
"Brazil",13.6,212559409,6796.84454227877,8511965,"22,1"
"Malta",13.5,441539,27884.6428274251,316,"1266,5"
"Slovenia",13.3,2078931,25517.33066526,20273,"99,2"
"Lithuania",13.2,2722291,20233.6413480843,65200,"55,0"
"Albania",12.5,2877800,5246.29230634793,28748,"124,6"
"Honduras",11.8,9904608,2389.012430771,112090,"65,4"
"Belgium",11.5,11589616,45159.3482229717,30528,"340,0"
"Austria",11.4,9006400,48586.8013213238,83870,"97,7"
"France",11.4,65273512,39030.3603713482,547030,"111,3"
"Netherlands",11.3,17134873,52397.1167129558,41526,"397,1"
"Angola",11,32866267,1776.16686789531,1246700,"9,7"
"Switzerland",10.8,8654618,87097.0364503764,41290,"182,2"
"Spain",10.7,46754783,27063.1939180299,504782,"80,0"
"Germany",10.6,83783945,46208.4294717472,357021,"230,9"
"Denmark",9.6,5792203,61063.3164304238,43094,"126,5"
"Japan",9.1,126476458,40193.2524448357,377835,"337,4"
"Luxembourg",9,625976,116014.602496869,2586,"183,5"
"United Kingdom",8.8,67886004,41059.1688090547,244820,"247,6"
"Canada",8.5,37742157,43294.6481631917,9984670,"3,3"
"Ecuador",8.4,17643060,5600.38961495341,283560,"47,8"
"Argentina",8.2,45195777,8579.01777315683,2766890,"14,4"
"Ireland",8,4937796,85267.7647437582,70280,"57,8"
"Costa Rica",7.8,5094114,12140.8541545754,51100,"79,8"
"Norway",7.5,5421242,67329.6777910967,323802,"14,2"
"Portugal",7.1,10196707,22176.2967116929,92391,"114,8"
"New Zealand",6.8,4822233,41441.4666667011,268680,"15,2"
"Sweden",6.6,10099270,52274.4087868798,449964,"20,0"
"Iceland",6.1,341250,59270.1800510483,103000,"2,9"
"Estonia",5.9,1326539,23027.0269956294,45226,"29,3"
"Australia",5.7,25499881,51692.8427477695,7686850,"2,6"
"Grenada",5.5,112519,9261.55187617696,344,"260,8"
"Finland",5.5,5540718,48744.9881267787,338145,"15,5"
"Puerto Rico",4.8,2860840,32290.9211360931,13790,"284,8"
